algorithm_name,env_n,size,best_solution,H,states,time
GA,27,10,"[1, 3, 7, 6, 8, 5, 2, 0, 9, 4]",2,297,0.0014551809999829857
GA,28,10,"[9, 4, 1, 5, 2, 0, 7, 3, 8, 6]",1,1277,0.005445679999866115
GA,29,10,"[1, 9, 4, 2, 5, 8, 6, 0, 3, 7]",1,689,0.003131047999886505
HC,0,10,"[0, 9, 6, 4, 1, 8, 5, 2, 4, 7]",1,736,0.0024380610002481262
HC,1,10,"[8, 0, 7, 3, 1, 7, 9, 3, 6, 4]",2,368,0.0012870740001744707
HC,2,10,"[7, 0, 2, 8, 5, 1, 9, 3, 6, 4]",1,644,0.0021662469998773304
HC,3,10,"[1, 4, 2, 3, 9, 4, 8, 0, 0, 7]",3,460,0.001670345999627898
HC,4,10,"[4, 9, 0, 2, 7, 5, 8, 1, 1, 6]",2,460,0.001529610000034154
HC,5,10,"[4, 1, 8, 2, 9, 7, 0, 5, 3, 6]",1,460,0.0015558089999103686
HC,6,10,"[0, 6, 8, 2, 5, 1, 9, 4, 3, 7]",1,552,0.0018947119997392292
HC,7,10,"[7, 5, 1, 3, 0, 6, 9, 2, 0, 8]",3,276,0.0011420569999245345
HC,8,10,"[9, 5, 3, 8, 0, 2, 9, 7, 6, 1]",2,552,0.0018403829999442678
HC,9,10,"[6, 4, 1, 1, 9, 5, 8, 3, 0, 2]",2,368,0.0012259360000825836
HC,10,10,"[1, 6, 4, 0, 0, 3, 9, 7, 2, 8]",1,460,0.0015234089996738476
HC,11,10,"[7, 1, 4, 6, 8, 2, 5, 3, 0, 9]",2,368,0.0012669950001509278
HC,12,10,"[2, 6, 1, 9, 1, 8, 4, 7, 3, 0]",1,460,0.0015717090000180178
HC,13,10,"[2, 9, 1, 4, 8, 0, 3, 7, 0, 5]",2,552,0.0018832430005204515
HC,14,10,"[7, 4, 0, 5, 0, 9, 3, 6, 8, 1]",1,460,0.001520619000075385
HC,15,10,"[2, 4, 1, 8, 9, 5, 1, 7, 0, 3]",3,276,0.001002120000521245
HC,16,10,"[1, 6, 8, 3, 7, 4, 0, 9, 0, 5]",2,460,0.0015191299999059993
HC,17,10,"[2, 5, 1, 8, 4, 0, 9, 3, 6, 7]",1,552,0.002535360000365472
HC,18,10,"[6, 1, 7, 4, 0, 3, 8, 9, 5, 2]",1,460,0.002088737999656587
HC,19,10,"[7, 1, 8, 5, 2, 0, 9, 4, 1, 3]",1,644,0.002250004999950761
HC,20,10,"[8, 6, 3, 9, 7, 2, 0, 7, 1, 4]",2,368,0.001223186000061105
HC,21,10,"[1, 3, 5, 8, 2, 9, 6, 1, 7, 0]",1,460,0.0015854580005907337
HC,22,10,"[1, 4, 0, 7, 9, 2, 6, 1, 3, 5]",1,552,0.001877621999483381
HC,23,10,"[6, 3, 0, 4, 1, 9, 5, 2, 2, 8]",2,460,0.001543549000416533
HC,24,10,"[1, 8, 0, 2, 9, 3, 6, 4, 7, 5]",2,460,0.0016012080004657037
HC,25,10,"[4, 2, 8, 2, 7, 3, 1, 9, 5, 0]",1,644,0.0027805239997178433
HC,26,10,"[4, 2, 5, 3, 9, 0, 8, 4, 1, 7]",1,460,0.001704416000393394
HC,27,10,"[0, 6, 3, 1, 8, 4, 2, 9, 5, 1]",1,368,0.0012145959999543265
HC,28,10,"[5, 3, 8, 0, 8, 4, 2, 0, 9, 7]",2,368,0.0012054349999743863
HC,29,10,"[2, 4, 9, 7, 0, 3, 1, 5, 8, 6]",1,368,0.0012368849993436015
SA,0,10,"[7, 2, 4, 8, 1, 3, 9, 6, 0, 5]",1,457,0.0018568830000731396
SA,1,10,"[0, 8, 6, 1, 3, 7, 9, 3, 5, 2]",1,457,0.002354973000365135
SA,2,10,"[7, 0, 3, 8, 1, 5, 2, 9, 6, 4]",1,457,0.002202776000558515
SA,3,10,"[3, 6, 2, 9, 1, 4, 8, 8, 0, 7]",1,457,0.002144817000043986
SA,4,10,"[6, 0, 0, 4, 9, 7, 3, 1, 8, 5]",1,457,0.0017734840002958663
SA,5,10,"[2, 6, 8, 3, 1, 9, 7, 5, 0, 8]",1,457,0.0019097610002063448
SA,6,10,"[3, 7, 2, 4, 8, 0, 5, 9, 1, 6]",0,350,0.0013707830003113486
SA,7,10,"[5, 1, 9, 0, 3, 7, 2, 8, 6, 4]",0,232,0.0010154200008400949
SA,8,10,"[9, 2, 4, 7, 0, 3, 6, 1, 5, 8]",1,457,0.0017815349992815754
SA,9,10,"[6, 2, 7, 1, 8, 0, 5, 3, 5, 9]",1,457,0.0020692190000772825
SA,10,10,"[0, 4, 8, 1, 9, 6, 0, 2, 7, 5]",1,457,0.001785184000254958
SA,11,10,"[8, 4, 7, 1, 6, 9, 5, 0, 2, 9]",2,457,0.002020169000388705
SA,12,10,"[7, 3, 1, 6, 4, 9, 0, 8, 5, 2]",0,401,0.0015986579992386396
SA,13,10,"[0, 6, 9, 5, 8, 1, 3, 8, 2, 7]",1,457,0.001791444000446063
SA,14,10,"[5, 3, 1, 9, 5, 8, 0, 4, 6, 7]",2,457,0.001857672000369348
