algorithm_name,env_n,size,best_solution,H,states,time
random,17,8,"[2, 5, 1, 4, 0, 3, 3, 7]",1,50001,0.24848645299789496
HC,17,8,"[2, 5, 7, 6, 0, 3, 1, 4]",1,232,0.0005492670024977997
SA,17,8,"[1, 4, 7, 3, 0, 2, 5, 6]",1,446,0.0013504080052371137
GA,17,8,"[3, 1, 7, 4, 6, 0, 2, 5]",0,591,0.002503071002138313
random,18,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,3150,0.01625714400142897
HC,18,8,"[0, 4, 1, 5, 2, 6, 7, 3]",1,232,0.0005655360000673681
SA,18,8,"[7, 0, 4, 6, 1, 5, 2, 5]",1,446,0.0013535980033339001
GA,18,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,493,0.002069901005597785
random,19,8,"[1, 6, 2, 5, 7, 0, 4, 6]",1,50001,0.2477877890050877
HC,19,8,"[0, 7, 4, 6, 1, 2, 5, 3]",1,290,0.000694993999786675
SA,19,8,"[1, 7, 5, 3, 6, 0, 2, 4]",1,446,0.00137499700213084
GA,19,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,199,0.0008031510005821474
random,20,8,"[4, 2, 0, 5, 6, 1, 3, 7]",1,50001,0.24766468300367706
HC,20,8,"[7, 1, 4, 0, 3, 6, 2, 5]",1,290,0.0006949730013730004
SA,20,8,"[2, 7, 3, 0, 5, 1, 4, 6]",1,446,0.0013601879982161336
GA,20,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,395,0.00172731900238432
random,21,8,"[5, 2, 0, 6, 4, 7, 1, 4]",1,50001,0.2496688959945459
HC,21,8,"[6, 1, 7, 4, 0, 3, 5, 2]",1,290,0.0006983130006119609
SA,21,8,"[2, 5, 1, 4, 7, 0, 3, 7]",1,446,0.0013859669998055324
GA,21,8,"[5, 1, 6, 0, 2, 4, 7, 3]",0,297,0.0012533900007838383
random,22,8,"[0, 7, 3, 1, 6, 2, 5, 2]",1,50001,0.2485777620022418
HC,22,8,"[7, 1, 4, 6, 3, 0, 2, 5]",1,290,0.0007190530013758689
SA,22,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,231,0.0007053439985611476
GA,22,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,101,0.00037825099570909515
random,23,8,"[5, 2, 6, 1, 7, 7, 0, 3]",1,50001,0.24771243199938908
HC,23,8,"[0, 6, 4, 2, 7, 1, 3, 5]",1,290,0.0007158930020523258
SA,23,8,"[5, 7, 6, 0, 3, 1, 4, 2]",1,446,0.0013601469981949776
GA,23,8,"[2, 5, 1, 6, 0, 3, 7, 4]",0,199,0.0008161410005413927
random,24,8,"[0, 6, 3, 5, 7, 1, 4, 2]",0,12758,0.0635268019977957
HC,24,8,"[4, 0, 3, 6, 1, 5, 2, 0]",2,290,0.000688893000187818
SA,24,8,"[4, 0, 5, 5, 2, 6, 3, 7]",1,446,0.0013732970037381165
GA,24,8,"[1, 5, 7, 2, 0, 3, 6, 4]",0,297,0.0013000390026718378
random,25,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,14851,0.07488567299878923
HC,25,8,"[1, 6, 1, 7, 4, 7, 0, 2]",2,232,0.0005582869998761453
SA,25,8,"[6, 4, 7, 7, 0, 2, 5, 1]",1,446,0.001351967999653425
GA,25,8,"[5, 2, 0, 7, 3, 1, 6, 4]",0,101,0.000367571999959182
random,26,8,"[2, 6, 1, 7, 5, 3, 6, 4]",1,50001,0.25007996600470506
HC,26,8,"[0, 3, 7, 2, 4, 6, 1, 5]",1,232,0.0005527860048459843
SA,26,8,"[2, 4, 1, 7, 0, 6, 3, 0]",1,446,0.001362117996904999
GA,26,8,"[3, 6, 4, 2, 0, 5, 7, 1]",0,297,0.0012592700004461221
random,27,8,"[7, 2, 2, 5, 1, 4, 0, 3]",1,50001,0.25258118599595036
HC,27,8,"[1, 4, 7, 5, 0, 2, 6, 3]",1,290,0.0007274129966390319
SA,27,8,"[1, 7, 2, 0, 6, 4, 1, 5]",1,446,0.001377088003209792
GA,27,8,"[2, 4, 1, 7, 5, 3, 6, 0]",0,101,0.0003885609985445626
random,28,8,"[0, 2, 5, 3, 1, 7, 4, 6]",1,50001,0.25201193999964744
HC,28,8,"[0, 7, 3, 1, 6, 2, 5, 2]",1,232,0.0005626970014418475
SA,28,8,"[1, 5, 7, 2, 0, 3, 6, 4]",0,188,0.0005856759962625802
GA,28,8,"[3, 7, 0, 2, 5, 1, 6, 4]",0,395,0.0017578080005478114
random,29,8,"[2, 4, 6, 1, 3, 5, 0, 4]",1,50001,0.25292153900227277
HC,29,8,"[4, 6, 1, 0, 7, 3, 7, 2]",2,174,0.0004136300049140118
SA,29,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,329,0.0009998269961215556
GA,29,8,"[6, 2, 7, 1, 4, 0, 5, 3]",0,297,0.0012591909980983473
random,0,10,"[4, 7, 1, 2, 6, 8, 3, 0, 8, 5]",2,100001,0.6918888820000575
HC,0,10,"[0, 9, 6, 4, 1, 8, 5, 2, 4, 7]",1,736,0.002541239002312068
SA,0,10,"[7, 2, 4, 8, 1, 3, 9, 6, 0, 5]",1,457,0.0019015450016013347
GA,0,10,"[5, 8, 1, 9, 7, 2, 0, 3, 6, 4]",0,3041,0.016212116002861876
random,1,10,"[6, 9, 5, 1, 8, 4, 7, 9, 3, 2]",2,100001,0.6813827410005615
HC,1,10,"[8, 0, 7, 3, 1, 7, 9, 3, 6, 4]",2,368,0.0013047090033069253
SA,1,10,"[0, 8, 6, 1, 3, 7, 9, 3, 5, 2]",1,457,0.0019061149941990152
GA,1,10,"[9, 3, 6, 0, 2, 8, 5, 7, 4, 1]",0,395,0.002211368002463132
random,2,10,"[1, 5, 7, 9, 3, 0, 2, 4, 8, 6]",1,100001,0.6773503670046921
HC,2,10,"[7, 0, 2, 8, 5, 1, 9, 3, 6, 4]",1,644,0.0022626360005233437
SA,2,10,"[7, 0, 3, 8, 1, 5, 2, 9, 6, 4]",1,457,0.0019387550055398606
GA,2,10,"[8, 6, 0, 3, 1, 4, 7, 9, 2, 5]",0,1473,0.008258363995992113
random,3,10,"[0, 2, 7, 9, 0, 8, 4, 1, 3, 5]",2,100001,0.6862116970005445
HC,3,10,"[1, 4, 2, 3, 9, 4, 8, 0, 0, 7]",3,460,0.0016687700044712983
SA,3,10,"[3, 6, 2, 9, 1, 4, 8, 8, 0, 7]",1,457,0.0019689239998115227
GA,3,10,"[8, 4, 7, 0, 2, 5, 1, 6, 9, 3]",0,199,0.0011124630036647432
random,4,10,"[9, 9, 2, 5, 1, 6, 0, 6, 4, 7]",2,100001,0.681661525995878
HC,4,10,"[4, 9, 0, 2, 7, 5, 8, 1, 1, 6]",2,460,0.001633599997148849
SA,4,10,"[6, 0, 0, 4, 9, 7, 3, 1, 8, 5]",1,457,0.0019148139981552958
GA,4,10,"[6, 2, 9, 5, 0, 8, 4, 7, 1, 3]",0,591,0.0033104519970947877
random,5,10,"[6, 3, 9, 2, 8, 5, 2, 4, 1, 7]",2,100001,0.6655163280011038
HC,5,10,"[4, 1, 8, 2, 9, 7, 0, 5, 3, 6]",1,460,0.0016129119976540096
SA,5,10,"[2, 6, 8, 3, 1, 9, 7, 5, 0, 8]",1,457,0.001936794003995601
GA,5,10,"[8, 1, 3, 7, 0, 2, 5, 9, 6, 4]",0,9705,0.0517109430002165
random,6,10,"[1, 4, 7, 9, 0, 3, 8, 6, 5, 2]",1,100001,0.6688341589979245
HC,6,10,"[0, 6, 8, 2, 5, 1, 9, 4, 3, 7]",1,552,0.001941604001331143
SA,6,10,"[3, 7, 2, 4, 8, 0, 5, 9, 1, 6]",0,350,0.001482785002735909
GA,6,10,"[2, 4, 1, 8, 5, 9, 6, 3, 0, 7]",0,18525,0.09948820900171995
random,7,10,"[5, 1, 4, 6, 3, 9, 2, 8, 0, 3]",2,100001,0.6717387899989262
HC,7,10,"[7, 5, 1, 3, 0, 6, 9, 2, 0, 8]",3,276,0.0010202859994024038
SA,7,10,"[5, 1, 9, 0, 3, 7, 2, 8, 6, 4]",0,232,0.0009781170010683127
GA,7,10,"[4, 8, 0, 9, 6, 2, 7, 1, 3, 5]",0,493,0.0027401350016589276
random,8,10,"[7, 4, 1, 8, 0, 3, 8, 2, 5, 9]",1,100001,0.6807479760027491
HC,8,10,"[9, 5, 3, 8, 0, 2, 9, 7, 6, 1]",2,552,0.0018957249994855374
SA,8,10,"[9, 2, 4, 7, 0, 3, 6, 1, 5, 8]",1,457,0.0019228340024710633
GA,8,10,"[1, 5, 9, 2, 6, 8, 3, 0, 4, 7]",0,6961,0.038035238001612015
